round,action_index,region,old_color,new_color,center_dist,step_delta_center_dist,solved,final_conflicts
25,1,39,2,1,4.3535186918169995,0.5509953620438091,True,0
25,2,42,3,0,6.96419413859206,2.61067544677506,True,0
25,3,35,3,1,3.8025233297731904,-3.161670808818869,True,0
25,4,14,0,1,8.44489943875072,4.64237610897753,True,0
25,5,10,3,1,7.504165509901817,-0.9407339288489034,True,0
25,6,4,1,0,7.074995092263709,-0.4291704176381081,True,0
26,0,1,0,1,7.615773105863909,,True,0
26,1,37,3,0,5.87632963677158,-1.739443469092329,True,0
26,2,28,0,2,9.105391988558546,3.2290623517869665,True,0
26,3,43,2,0,6.8839588093544615,-2.2214331792040847,True,0
26,4,31,3,0,9.82344135219425,2.939482542839788,True,0
26,5,1,1,2,7.615773105863909,-2.207668246330341,True,0
27,0,28,0,1,5.522680508593631,,True,0
27,1,5,3,1,7.596051605933177,2.073371097339546,True,0
27,2,11,3,2,6.021627686929839,-1.5744239190033378,True,0
27,3,6,2,3,5.907622195096772,-0.1140054918330664,True,0
27,4,5,1,0,7.596051605933177,1.6884294108364042,True,0
28,0,39,2,1,4.126472801046649,,True,0
28,1,1,1,2,3.184162195757133,-0.9423106052895164,True,0
28,2,40,3,1,1.118033988749895,-2.066128207007238,True,0
28,3,1,2,0,3.184162195757133,2.066128207007238,True,0
28,4,14,1,0,7.433034373659253,4.24887217790212,True,0
28,5,8,3,0,4.487637339278753,-2.9453970343805,True,0
28,6,13,1,2,7.462871059079371,2.9752337198006176,True,0
29,0,31,3,1,7.769241347204444,,True,0
29,1,26,0,2,5.482294734466175,-2.2869466127382685,True,0
29,2,7,2,0,2.0824828195876073,-3.399811914878568,True,0
29,3,6,1,3,5.25594901040716,3.1734661908195525,True,0
30,0,31,2,1,3.3374973990834644,,True,0
30,1,13,1,2,6.103277807866851,2.7657804087833866,True,0
30,2,10,0,3,5.501420271166347,-0.6018575367005043,True,0
30,3,6,3,1,6.593905658768154,1.0924853876018077,True,0
30,4,1,0,1,8.795516534639173,2.201610875871019,True,0
