pruning_thresh,gamma,lapse_rate,region_preserve,color_preserve,ll,nll,n_actions,task_id
0.5,0.1,0.3,0.0,0.0,-1261.5944466957958,1261.5944466957958,567,8
0.0,0.05,0.3,0.0,0.0,-1272.9450464937147,1272.9450464937147,567,8
0.5,0.05,0.3,0.0,0.0,-1278.9400614854464,1278.9400614854464,567,8
0.0,0.05,0.1,0.0,0.0,-1280.752543968887,1280.752543968887,567,8
0.5,0.05,0.1,0.0,0.0,-1284.516511036054,1284.516511036054,567,8
1.0,0.2,0.3,0.0,0.0,-1294.9308355929163,1294.9308355929163,567,8
1.0,0.1,0.3,0.0,0.0,-1296.1862351163456,1296.1862351163456,567,8
1.0,0.1,0.1,0.0,0.0,-1298.2386474410143,1298.2386474410143,567,8
1.0,0.2,0.1,0.0,0.0,-1300.0186736291978,1300.0186736291978,567,8
1.0,0.05,0.3,0.0,0.0,-1309.5947270889937,1309.5947270889937,567,8
1.0,0.05,0.1,0.0,0.0,-1315.7124522025692,1315.7124522025692,567,8
0.0,0.1,0.0,0.0,0.0,-1457.605158703768,1457.605158703768,567,8
0.5,0.1,0.0,0.0,0.0,-1460.1590582250428,1460.1590582250428,567,8
0.0,0.2,0.0,0.0,0.0,-1471.0841970251106,1471.0841970251106,567,8
0.5,0.2,0.0,0.0,0.0,-1473.9745687830066,1473.9745687830066,567,8
0.0,0.05,0.0,0.0,0.0,-1564.776835949989,1564.776835949989,567,8
0.5,0.05,0.0,0.0,0.0,-1566.3572863255497,1566.3572863255497,567,8
1.0,0.1,0.0,0.0,0.0,-1575.5485949730073,1575.5485949730073,567,8
1.0,0.2,0.0,0.0,0.0,-1625.6500532940074,1625.6500532940074,567,8
1.0,0.05,0.0,0.0,0.0,-1643.1300385357008,1643.1300385357008,567,8
0.5,0.05,0.0,0.0,0.0,-37.13192870207996,37.13192870207996,62,9
0.5,0.05,0.1,0.0,0.0,-39.544172499063045,39.544172499063045,62,9
0.5,0.2,0.1,0.0,0.0,-40.43145468394877,40.43145468394877,62,9
0.5,0.2,0.3,0.0,0.0,-42.32924557414308,42.32924557414308,62,9
0.5,0.1,0.1,0.0,0.0,-44.62092240842519,44.62092240842519,62,9
0.5,0.05,0.3,0.0,0.0,-45.02568175707534,45.02568175707534,62,9
0.5,0.1,0.3,0.0,0.0,-45.983727271735994,45.983727271735994,62,9
1.0,0.1,0.1,0.0,0.0,-69.0443284134711,69.0443284134711,62,9
1.0,0.1,0.3,0.0,0.0,-72.81394342619309,72.81394342619309,62,9
1.0,0.05,0.1,0.0,0.0,-73.34368293979468,73.34368293979468,62,9
0.0,0.2,0.1,0.0,0.0,-75.21032413118907,75.21032413118907,62,9
0.0,0.2,0.3,0.0,0.0,-76.01399568118549,76.01399568118549,62,9
1.0,0.2,0.3,0.0,0.0,-77.3425706748257,77.3425706748257,62,9
1.0,0.2,0.1,0.0,0.0,-78.08027733265918,78.08027733265918,62,9
1.0,0.05,0.3,0.0,0.0,-78.92162430449757,78.92162430449757,62,9
0.0,0.05,0.1,0.0,0.0,-80.91330289135345,80.91330289135345,62,9
0.0,0.1,0.3,0.0,0.0,-82.53590243584885,82.53590243584885,62,9
0.0,0.05,0.3,0.0,0.0,-82.84994829365395,82.84994829365395,62,9
0.0,0.1,0.1,0.0,0.0,-83.58386477610279,83.58386477610279,62,9
0.0,0.05,0.0,0.0,0.0,-96.60019069283821,96.60019069283821,62,9
0.5,0.2,0.0,0.0,0.0,-103.19840094140055,103.19840094140055,62,9
0.5,0.1,0.0,0.0,0.0,-107.62124957059468,107.62124957059468,62,9
1.0,0.05,0.0,0.0,0.0,-116.88490899925036,116.88490899925036,62,9
0.0,0.2,0.0,0.0,0.0,-121.60665916535436,121.60665916535436,62,9
1.0,0.1,0.0,0.0,0.0,-144.52061306308326,144.52061306308326,62,9
0.0,0.1,0.0,0.0,0.0,-147.34056029639703,147.34056029639703,62,9
1.0,0.2,0.0,0.0,0.0,-217.59183284737327,217.59183284737327,62,9
0.5,0.05,0.0,0.0,0.0,-37.13192870207996,37.13192870207996,62,10
0.5,0.05,0.1,0.0,0.0,-39.544172499063045,39.544172499063045,62,10
0.5,0.2,0.1,0.0,0.0,-40.43145468394877,40.43145468394877,62,10
0.5,0.2,0.3,0.0,0.0,-42.32924557414308,42.32924557414308,62,10
0.5,0.1,0.1,0.0,0.0,-44.62092240842519,44.62092240842519,62,10
0.5,0.05,0.3,0.0,0.0,-45.02568175707534,45.02568175707534,62,10
0.5,0.1,0.3,0.0,0.0,-45.983727271735994,45.983727271735994,62,10
1.0,0.1,0.1,0.0,0.0,-69.0443284134711,69.0443284134711,62,10
1.0,0.1,0.3,0.0,0.0,-72.81394342619309,72.81394342619309,62,10
1.0,0.05,0.1,0.0,0.0,-73.34368293979468,73.34368293979468,62,10
0.0,0.2,0.1,0.0,0.0,-75.21032413118907,75.21032413118907,62,10
0.0,0.2,0.3,0.0,0.0,-76.01399568118549,76.01399568118549,62,10
1.0,0.2,0.3,0.0,0.0,-77.3425706748257,77.3425706748257,62,10
1.0,0.2,0.1,0.0,0.0,-78.08027733265918,78.08027733265918,62,10
1.0,0.05,0.3,0.0,0.0,-78.92162430449757,78.92162430449757,62,10
0.0,0.05,0.1,0.0,0.0,-80.91330289135345,80.91330289135345,62,10
0.0,0.1,0.3,0.0,0.0,-82.53590243584885,82.53590243584885,62,10
0.0,0.05,0.3,0.0,0.0,-82.84994829365395,82.84994829365395,62,10
0.0,0.1,0.1,0.0,0.0,-83.58386477610279,83.58386477610279,62,10
0.0,0.05,0.0,0.0,0.0,-96.60019069283821,96.60019069283821,62,10
0.5,0.2,0.0,0.0,0.0,-103.19840094140055,103.19840094140055,62,10
0.5,0.1,0.0,0.0,0.0,-107.62124957059468,107.62124957059468,62,10
1.0,0.05,0.0,0.0,0.0,-116.88490899925036,116.88490899925036,62,10
0.0,0.2,0.0,0.0,0.0,-121.60665916535436,121.60665916535436,62,10
1.0,0.1,0.0,0.0,0.0,-144.52061306308326,144.52061306308326,62,10
0.0,0.1,0.0,0.0,0.0,-147.34056029639703,147.34056029639703,62,10
1.0,0.2,0.0,0.0,0.0,-217.59183284737327,217.59183284737327,62,10
0.5,0.2,0.3,0.0,0.0,-73.20577447271323,73.20577447271323,71,11
0.5,0.05,0.3,0.0,0.0,-75.05696880148196,75.05696880148196,71,11
0.5,0.1,0.3,0.0,0.0,-76.73202782486119,76.73202782486119,71,11
0.5,0.05,0.1,0.0,0.0,-78.4746785722393,78.4746785722393,71,11
0.5,0.2,0.1,0.0,0.0,-81.38103363385488,81.38103363385488,71,11
0.5,0.1,0.1,0.0,0.0,-85.28692909020774,85.28692909020774,71,11
1.0,0.1,0.3,0.0,0.0,-104.31223180854887,104.31223180854887,71,11
1.0,0.2,0.3,0.0,0.0,-105.91032292373656,105.91032292373656,71,11
1.0,0.1,0.1,0.0,0.0,-110.2420429420801,110.2420429420801,71,11
1.0,0.05,0.3,0.0,0.0,-112.72164115497092,112.72164115497092,71,11
1.0,0.2,0.1,0.0,0.0,-114.12238332825916,114.12238332825916,71,11
1.0,0.05,0.1,0.0,0.0,-118.14378185035342,118.14378185035342,71,11
0.0,0.2,0.3,0.0,0.0,-177.87764833882989,177.87764833882989,71,11
0.0,0.1,0.3,0.0,0.0,-180.2253069503375,180.2253069503375,71,11
0.0,0.05,0.3,0.0,0.0,-182.81296808778754,182.81296808778754,71,11
0.0,0.2,0.1,0.0,0.0,-183.7308260509158,183.7308260509158,71,11
0.0,0.05,0.1,0.0,0.0,-185.2184328757708,185.2184328757708,71,11
