round,rep,step,region,center_dist
1,63,5,26,2.213594362117865
1,63,6,11,1.7716909687891076
1,63,7,35,6.800735254367722
1,63,8,40,8.860022573334675
1,63,9,21,8.872554436137442
1,64,1,14,5.5901699437494745
1,64,2,20,4.031128874149275
1,64,3,15,3.374742788552764
1,64,4,44,4.825971404805461
1,64,5,26,2.213594362117865
1,64,6,14,5.5901699437494745
1,64,7,34,7.780102827083971
1,64,8,42,9.60052081920559
1,65,1,11,1.7716909687891076
1,65,2,8,1.5365907428821477
1,65,3,0,1.5811388300841898
1,65,4,37,4.250816914952283
1,66,1,44,4.825971404805461
1,66,2,37,4.250816914952283
1,67,1,11,1.7716909687891076
1,67,2,26,2.213594362117865
1,67,3,44,4.825971404805461
1,67,4,34,7.780102827083971
1,68,1,10,3.0413812651491097
1,68,2,8,1.5365907428821477
1,68,3,0,1.5811388300841898
1,68,4,37,4.250816914952283
1,69,1,15,3.374742788552764
1,69,2,26,2.213594362117865
1,69,3,44,4.825971404805461
1,69,4,20,4.031128874149275
1,69,5,14,5.5901699437494745
1,69,6,44,4.825971404805461
1,70,1,15,3.374742788552764
1,70,2,26,2.213594362117865
1,70,3,44,4.825971404805461
1,70,4,34,7.780102827083971
1,71,1,10,3.0413812651491097
1,71,2,9,4.374801582802229
1,71,3,39,4.716990566028302
1,71,4,5,6.4031242374328485
1,72,1,11,1.7716909687891076
1,72,2,8,1.5365907428821477
1,72,3,0,1.5811388300841898
1,73,1,11,1.7716909687891076
1,73,2,26,2.213594362117865
1,74,1,44,4.825971404805461
1,74,2,37,4.250816914952283
1,75,1,10,3.0413812651491097
1,75,2,8,1.5365907428821477
1,75,3,0,1.5811388300841898
1,75,4,11,1.7716909687891076
1,75,5,26,2.213594362117865
1,76,1,11,1.7716909687891076
1,76,2,26,2.213594362117865
1,77,1,11,1.7716909687891076
1,77,2,0,1.5811388300841898
1,77,3,32,4.301162633521313
1,77,4,39,4.716990566028302
1,77,5,4,4.924428900898052
1,77,6,5,6.4031242374328485
1,77,7,20,4.031128874149275
1,77,8,7,7.213269023126754
1,78,1,11,1.7716909687891076
1,78,2,26,2.213594362117865
1,78,3,44,4.825971404805461
1,79,1,10,3.0413812651491097
1,79,2,9,4.374801582802229
1,79,3,39,4.716990566028302
1,79,4,5,6.4031242374328485
1,80,1,10,3.0413812651491097
1,80,2,8,1.5365907428821477
1,80,3,0,1.5811388300841898
